STUSPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
WA	5312680	02407628	Clarkston Heights-Vineland CDP	15604649	0	6.025	0.000	46.387589	-117.083138
WA	5312735	02586731	Clayton CDP	3340277	0	1.290	0.000	48.001222	-117.561155
WA	5312820	02584959	Clear Lake CDP	21964976	1623171	8.481	0.627	46.929040	-122.299406
WA	5312840	02407630	Clear Lake CDP	4914537	891142	1.898	0.344	48.452010	-122.249671
WA	5312875	02584960	Clearview CDP	12015955	0	4.639	0.000	47.829186	-122.145149
WA	5312945	02409476	Cle Elum city	9893119	13020	3.820	0.005	47.194654	-120.946907
WA	5313015	02584961	Cliffdell CDP	4530216	0	1.749	0.000	46.921479	-121.042131
WA	5313155	02407635	Clinton CDP	2621176	7023858	1.012	2.712	47.962381	-122.352274
WA	5313215	02584962	Clover Creek CDP	16759046	8186	6.471	0.003	47.143317	-122.380456
WA	5313365	02409492	Clyde Hill city	2734483	0	1.056	0.000	47.630353	-122.217980
WA	5313595	02407645	Cohassett Beach CDP	3303649	16109	1.276	0.006	46.862836	-124.105927
WA	5313785	02410191	Colfax city	9808580	9047	3.787	0.003	46.902100	-117.338459
WA	5313855	02410192	College Place city	6896994	0	2.663	0.000	46.043011	-118.386932
WA	5313890	02413231	Colton town	1530241	0	0.591	0.000	46.567771	-117.128295
WA	5314170	02410205	Colville city	7582343	0	2.928	0.000	48.545147	-117.898109
WA	5314310	02413236	Conconully town	794535	538	0.307	0.000	48.557765	-119.751007
WA	5314380	02413237	Concrete town	3165252	62537	1.222	0.024	48.532692	-121.755270
WA	5314485	02410216	Connell city	20377260	0	7.868	0.000	46.662677	-118.840311
WA	5314520	02407654	Conway CDP	591844	0	0.229	0.000	48.335682	-122.344432
WA	5314660	02407656	Copalis Beach CDP	9478446	347971	3.660	0.134	47.130884	-124.171451
WA	5314870	02410238	Cosmopolis city	3447130	481383	1.331	0.186	46.954312	-123.772895
WA	5314940	02407667	Cottage Lake CDP	58684964	327108	22.658	0.126	47.746452	-122.075988
WA	5315080	02413248	Coulee City town	2336272	0	0.902	0.000	47.612165	-119.289124
WA	5315115	02413249	Coulee Dam town	1860789	141545	0.718	0.055	47.968511	-118.976280
WA	5315150	02407673	Country Homes CDP	4281609	0	1.653	0.000	47.747798	-117.419659
WA	5315185	02412377	Coupeville town	3184108	0	1.229	0.000	48.217004	-122.677794
WA	5315290	02410253	Covington city	15182565	254430	5.862	0.098	47.364791	-122.104563
WA	5315325	02584963	Cowiche CDP	1354308	0	0.523	0.000	46.672905	-120.715413
